image,mask_path,cloth_image
raw_data/train/images/00000_00.jpg,raw_data/train/image-parse-v3/00000_00.png,raw_data/train/cloth/00000_00.jpg
raw_data/train/images/00001_00.jpg,raw_data/train/image-parse-v3/00001_00.png,raw_data/train/cloth/00001_00.jpg
raw_data/train/images/00002_00.jpg,raw_data/train/image-parse-v3/00002_00.png,raw_data/train/cloth/00002_00.jpg
raw_data/train/images/00003_00.jpg,raw_data/train/image-parse-v3/00003_00.png,raw_data/train/cloth/00003_00.jpg
raw_data/train/images/00005_00.jpg,raw_data/train/image-parse-v3/00005_00.png,raw_data/train/cloth/00005_00.jpg
raw_data/train/images/00007_00.jpg,raw_data/train/image-parse-v3/00007_00.png,raw_data/train/cloth/00007_00.jpg
raw_data/train/images/00009_00.jpg,raw_data/train/image-parse-v3/00009_00.png,raw_data/train/cloth/00009_00.jpg
raw_data/train/images/00010_00.jpg,raw_data/train/image-parse-v3/00010_00.png,raw_data/train/cloth/00010_00.jpg
raw_data/train/images/00011_00.jpg,raw_data/train/image-parse-v3/00011_00.png,raw_data/train/cloth/00011_00.jpg
raw_data/train/images/00012_00.jpg,raw_data/train/image-parse-v3/00012_00.png,raw_data/train/cloth/00012_00.jpg
raw_data/train/images/00014_00.jpg,raw_data/train/image-parse-v3/00014_00.png,raw_data/train/cloth/00014_00.jpg
raw_data/train/images/00015_00.jpg,raw_data/train/image-parse-v3/00015_00.png,raw_data/train/cloth/00015_00.jpg
raw_data/train/images/00016_00.jpg,raw_data/train/image-parse-v3/00016_00.png,raw_data/train/cloth/00016_00.jpg
raw_data/train/images/00018_00.jpg,raw_data/train/image-parse-v3/00018_00.png,raw_data/train/cloth/00018_00.jpg
raw_data/train/images/00019_00.jpg,raw_data/train/image-parse-v3/00019_00.png,raw_data/train/cloth/00019_00.jpg
raw_data/train/images/00022_00.jpg,raw_data/train/image-parse-v3/00022_00.png,raw_data/train/cloth/00022_00.jpg
raw_data/train/images/00023_00.jpg,raw_data/train/image-parse-v3/00023_00.png,raw_data/train/cloth/00023_00.jpg
raw_data/train/images/00024_00.jpg,raw_data/train/image-parse-v3/00024_00.png,raw_data/train/cloth/00024_00.jpg
raw_data/train/images/00025_00.jpg,raw_data/train/image-parse-v3/00025_00.png,raw_data/train/cloth/00025_00.jpg
